_time	action_status	original_tags	target_ip	target_port	target_hostname	xdm.issue.name	xdm.issue.id	xdm.issue.category	xdm.issue.remediation	_insert_time	xdm.issue.severity
Aug 01 2026 19:18:50	SCANNED	DOM:Posture,DS:PANW/ASM				SSH Server at 35.196.108.179:22	128512	CONFIGURATION	"Having an SSH server accessible on the public internet poses several security risks, as it can potentially expose the system to unauthorized access, data breaches, and other cyberattacks.
To mitigate these risks and ensure the security of your SSH server, follow these steps:
1. Keep the SSH server software up-to-date with security patches and follow best practices for secure configuration and hardening. 2. Implement strong authentication mechanisms, such as public key authentication and multi-factor authentication, to prevent unauthorized access. 3. Limit the exposure of the SSH server to the public internet by using a VPN or implementing a bastion host to restrict access to authorized users only. 4. Regularly monitor system logs and network traffic for any signs of suspicious activity or potential intrusion attempts."	Aug 01 2026 19:19:12	MEDIUM
Aug 01 2026 19:18:50	SCANNED	DOM:Posture,DS:PANW/ASM				RegreSSHion (9.2p1) (9.2p1-2+deb12u9) at 35.196.108.179:22	128511	CONFIGURATION	"It is imperative to address the RegreSSHion (CVE-2024-6387) vulnerability promptly to maintain the security of your communications.

To mitigate the risks associated with the RegreSSHion (CVE-2024-6387) vulnerability, implement the following steps:

1. Upgrade OpenSSH to version 9.8p1 or later, which includes the fix for this vulnerability. Ensure the updates are authentic and have not been tampered with by checking their integrity using provided checksums or signatures.
2. Limit who can access your SSH servers by using firewalls, VPNs, or access lists to prevent unauthorized users from exploiting the vulnerability.
3. Implement multi-factor authentication for SSH access to add an additional layer of security, requiring more than just a password for verification.
4. Audit and update your SSH configuration files to enforce best security practices by disabling deprecated or weak key exchange algorithms and ensuring stronger algorithms are enabled.
5. Utilize monitoring and logging tools for SSH activities to promptly identify and address any suspicious login attempts."	Aug 01 2026 19:19:09	MEDIUM
Aug 07 2026 01:18:50	SCANNED	DOM:Posture,DS:PANW/ASM				SSH Server at 35.227.13.160:22	130272	CONFIGURATION	"Having an SSH server accessible on the public internet poses several security risks, as it can potentially expose the system to unauthorized access, data breaches, and other cyberattacks.
To mitigate these risks and ensure the security of your SSH server, follow these steps:
1. Keep the SSH server software up-to-date with security patches and follow best practices for secure configuration and hardening. 2. Implement strong authentication mechanisms, such as public key authentication and multi-factor authentication, to prevent unauthorized access. 3. Limit the exposure of the SSH server to the public internet by using a VPN or implementing a bastion host to restrict access to authorized users only. 4. Regularly monitor system logs and network traffic for any signs of suspicious activity or potential intrusion attempts."	Aug 07 2026 01:19:04	MEDIUM
Aug 02 2026 00:48:50	SCANNED	DOM:Posture,DS:PANW/ASM				OpenSSH (9.6p1) at 34.75.62.253:22	128686	CONFIGURATION	"Having OpenSSH accessible on the public internet poses several security risks, as it can potentially expose your systems to unauthorized access, data breaches, and other malicious activities. One notable vulnerability is CVE-2002-0083, which affects OpenSSH versions 2.0 through 3.0.2. This off-by-one error in the channel code allows local users or remote malicious servers to gain privileges, compromising the security of your system.
To mitigate the risks associated with using OpenSSH, follow these steps:
1. Upgrade to the latest available version of OpenSSH to safeguard your system from known vulnerabilities. 2. Limit access to OpenSSH by configuring your firewall to only allow connections from trusted IP addresses. 3. Use strong authentication methods, such as public key authentication, and disable weak authentication methods like password-based authentication. 4. Implement regular security updates and patches to ensure that your OpenSSH installation is protected against newly discovered vulnerabilities. 5. Monitor logs and system activities for any signs of unauthorized access or suspicious behavior."	Aug 02 2026 00:49:01	MEDIUM
Aug 02 2026 00:48:50	SCANNED	DOM:Posture,DS:PANW/ASM				RegreSSHion (9.6p1) at 34.75.62.253:22	128687	CONFIGURATION	"It is imperative to address the RegreSSHion (CVE-2024-6387) vulnerability promptly to maintain the security of your communications.

To mitigate the risks associated with the RegreSSHion (CVE-2024-6387) vulnerability, implement the following steps:

1. Upgrade OpenSSH to version 9.8p1 or later, which includes the fix for this vulnerability. Ensure the updates are authentic and have not been tampered with by checking their integrity using provided checksums or signatures.
2. Limit who can access your SSH servers by using firewalls, VPNs, or access lists to prevent unauthorized users from exploiting the vulnerability.
3. Implement multi-factor authentication for SSH access to add an additional layer of security, requiring more than just a password for verification.
4. Audit and update your SSH configuration files to enforce best security practices by disabling deprecated or weak key exchange algorithms and ensuring stronger algorithms are enabled.
5. Utilize monitoring and logging tools for SSH activities to promptly identify and address any suspicious login attempts."	Aug 02 2026 00:49:06	MEDIUM
Aug 07 2026 01:18:50	SCANNED	DOM:Posture,DS:PANW/ASM				Insecure OpenSSH (10.0) at 35.227.13.160:22	130275	CONFIGURATION	"OpenSSH versions under prior to 10.1 contain security vulnerabilities, such as remote code execution, privilege escalation, information disclosure and modification, as well as denial of service. When using OpenSSH ensure the following:
1. Backported versions require system access and cannot be done accurately from the Internet, it is recommended to verify vulnerabilities on the system through a change log or other means.
2. Outdated versions may no longer get security updates on a regular basis and are prime targets for attackers. It is recommended to upgrade to a supported version of OpenSSH and apply latest security updates. Latest versions can be found at [https://www.openssh.com/openbsd.html](https://www.openssh.com/openbsd.html)."	Aug 07 2026 01:19:15	MEDIUM
Aug 07 2026 01:18:50	SCANNED	DOM:Posture,DS:PANW/ASM				Insecure OpenSSH (10.0) at 34.26.97.223:22	130273	CONFIGURATION	"OpenSSH versions under prior to 10.1 contain security vulnerabilities, such as remote code execution, privilege escalation, information disclosure and modification, as well as denial of service. When using OpenSSH ensure the following:
1. Backported versions require system access and cannot be done accurately from the Internet, it is recommended to verify vulnerabilities on the system through a change log or other means.
2. Outdated versions may no longer get security updates on a regular basis and are prime targets for attackers. It is recommended to upgrade to a supported version of OpenSSH and apply latest security updates. Latest versions can be found at [https://www.openssh.com/openbsd.html](https://www.openssh.com/openbsd.html)."	Aug 07 2026 01:19:09	MEDIUM
Aug 05 2026 01:33:50	SCANNED	DOM:Posture,DS:PANW/ASM				Insecure OpenSSH (10.0) at 34.26.149.183:22	129991	CONFIGURATION	"OpenSSH versions under prior to 10.1 contain security vulnerabilities, such as remote code execution, privilege escalation, information disclosure and modification, as well as denial of service. When using OpenSSH ensure the following:
1. Backported versions require system access and cannot be done accurately from the Internet, it is recommended to verify vulnerabilities on the system through a change log or other means.
2. Outdated versions may no longer get security updates on a regular basis and are prime targets for attackers. It is recommended to upgrade to a supported version of OpenSSH and apply latest security updates. Latest versions can be found at [https://www.openssh.com/openbsd.html](https://www.openssh.com/openbsd.html)."	Aug 05 2026 01:34:00	MEDIUM
Aug 02 2026 00:48:50	SCANNED	DOM:Posture,DS:PANW/ASM				SSH Server at 34.75.62.253:22	128688	CONFIGURATION	"Having an SSH server accessible on the public internet poses several security risks, as it can potentially expose the system to unauthorized access, data breaches, and other cyberattacks.
To mitigate these risks and ensure the security of your SSH server, follow these steps:
1. Keep the SSH server software up-to-date with security patches and follow best practices for secure configuration and hardening. 2. Implement strong authentication mechanisms, such as public key authentication and multi-factor authentication, to prevent unauthorized access. 3. Limit the exposure of the SSH server to the public internet by using a VPN or implementing a bastion host to restrict access to authorized users only. 4. Regularly monitor system logs and network traffic for any signs of suspicious activity or potential intrusion attempts."	Aug 02 2026 00:49:10	MEDIUM
Aug 01 2026 19:18:50	SCANNED	DOM:Posture,DS:PANW/ASM				OpenSSH (9.2p1) at 35.196.108.179:22	128513	CONFIGURATION	"Having OpenSSH accessible on the public internet poses several security risks, as it can potentially expose your systems to unauthorized access, data breaches, and other malicious activities. One notable vulnerability is CVE-2002-0083, which affects OpenSSH versions 2.0 through 3.0.2. This off-by-one error in the channel code allows local users or remote malicious servers to gain privileges, compromising the security of your system.
To mitigate the risks associated with using OpenSSH, follow these steps:
1. Upgrade to the latest available version of OpenSSH to safeguard your system from known vulnerabilities. 2. Limit access to OpenSSH by configuring your firewall to only allow connections from trusted IP addresses. 3. Use strong authentication methods, such as public key authentication, and disable weak authentication methods like password-based authentication. 4. Implement regular security updates and patches to ensure that your OpenSSH installation is protected against newly discovered vulnerabilities. 5. Monitor logs and system activities for any signs of unauthorized access or suspicious behavior."	Aug 01 2026 19:19:16	MEDIUM
