_time	target_ip	certificate_issuer	certificate_not_after	application_protocol	xdm.issue.name	xdm.issue.description	xdm.issue.remediation	_insert_time	xdm.issue.severity
Aug 01 2026 19:18:50					Insecure OpenSSH (9.2p1) (9.2p1-2+deb12u9) at 35.196.108.179:22	"OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies versions of OpenSSH prior to 10.1, which may be exploited by vulnerabilities such as CVE-2024-6387, CVE-2023-25136, CVE-2021-28041, CVE-2021-41617, and CVE-2023-38408.

Note: This issue policy extracts OpenSSH's self reported version in the SSH Banner. Certain Linux/Unix vendors like Red Hat, CentOS, Debian, Ubuntu backport versions of open source packages like Apache, OpenSSH, PHP and BIND. The term backporting describes the action of taking a fix for a security flaw out of the most recent version of an upstream software package and applying that fix to an older version of the package distributed by these Linux/Unix vendors. If the SSH Banner reports the underlying OS, this policy implies a potentially insecure version which may be backported."	"OpenSSH versions under prior to 10.1 contain security vulnerabilities, such as remote code execution, privilege escalation, information disclosure and modification, as well as denial of service. When using OpenSSH ensure the following:
1. Backported versions require system access and cannot be done accurately from the Internet, it is recommended to verify vulnerabilities on the system through a change log or other means.
2. Outdated versions may no longer get security updates on a regular basis and are prime targets for attackers. It is recommended to upgrade to a supported version of OpenSSH and apply latest security updates. Latest versions can be found at [https://www.openssh.com/openbsd.html](https://www.openssh.com/openbsd.html)."	Aug 01 2026 19:19:04	MEDIUM
Aug 02 2026 00:48:50					Insecure OpenSSH (9.6p1) at 34.75.62.253:22	"OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies versions of OpenSSH prior to 10.1, which may be exploited by vulnerabilities such as CVE-2024-6387, CVE-2023-25136, CVE-2021-28041, CVE-2021-41617, and CVE-2023-38408.

Note: This issue policy extracts OpenSSH's self reported version in the SSH Banner. Certain Linux/Unix vendors like Red Hat, CentOS, Debian, Ubuntu backport versions of open source packages like Apache, OpenSSH, PHP and BIND. The term backporting describes the action of taking a fix for a security flaw out of the most recent version of an upstream software package and applying that fix to an older version of the package distributed by these Linux/Unix vendors. If the SSH Banner reports the underlying OS, this policy implies a potentially insecure version which may be backported."	"OpenSSH versions under prior to 10.1 contain security vulnerabilities, such as remote code execution, privilege escalation, information disclosure and modification, as well as denial of service. When using OpenSSH ensure the following:
1. Backported versions require system access and cannot be done accurately from the Internet, it is recommended to verify vulnerabilities on the system through a change log or other means.
2. Outdated versions may no longer get security updates on a regular basis and are prime targets for attackers. It is recommended to upgrade to a supported version of OpenSSH and apply latest security updates. Latest versions can be found at [https://www.openssh.com/openbsd.html](https://www.openssh.com/openbsd.html)."	Aug 02 2026 00:49:13	MEDIUM
Aug 01 2026 19:18:50					RegreSSHion (9.2p1) (9.2p1-2+deb12u9) at 35.196.108.179:22	"RegreSSHion (CVE-2024-6387) is a critical security vulnerability identified in OpenSSH, a widely utilized tool for establishing secure remote connections. This vulnerability affects OpenSSH versions from 8.5p1 through 9.7p1, as well as versions earlier than 4.4p1. However, since it cannot be reliably confirmed that versions prior to 4.4p1 are vulnerable due to patches addressing earlier vulnerabilities (CVE-2006-5051 and CVE-2008-4109), they have been excluded from detection in this rule. If exploited, it enables attackers to intercept and decrypt SSH communications, potentially exposing sensitive information such as usernames, passwords, and other confidential data. This rule flags on vulnerable versions 8.5p1 through 9.7p1 through SSH selectors.

Please note: Backported / Vendor-specific OpenSSH versions cannot be reliably detected externally, therefore it is recommended to verify the flagged device and ensure that the version of OpenSSH identified is not backported or a vendor-specific patched version."	"It is imperative to address the RegreSSHion (CVE-2024-6387) vulnerability promptly to maintain the security of your communications.

To mitigate the risks associated with the RegreSSHion (CVE-2024-6387) vulnerability, implement the following steps:

1. Upgrade OpenSSH to version 9.8p1 or later, which includes the fix for this vulnerability. Ensure the updates are authentic and have not been tampered with by checking their integrity using provided checksums or signatures.
2. Limit who can access your SSH servers by using firewalls, VPNs, or access lists to prevent unauthorized users from exploiting the vulnerability.
3. Implement multi-factor authentication for SSH access to add an additional layer of security, requiring more than just a password for verification.
4. Audit and update your SSH configuration files to enforce best security practices by disabling deprecated or weak key exchange algorithms and ensuring stronger algorithms are enabled.
5. Utilize monitoring and logging tools for SSH activities to promptly identify and address any suspicious login attempts."	Aug 01 2026 19:19:09	MEDIUM
Aug 07 2026 01:18:50					SSH Server at 35.227.13.160:22	"Secure Shell (SSH) servers provide remote terminal access.

Having an exposed SSH server is risky because many of its default installation configurations are insecure and they're commonly exploited as a result. When exploitation succeeds, attackers can gain remote access into the network. While the exploit still needs a knowledgeable attacker, these servers are such a frequent target that there is material risk associated with public facing SSH Server."	"Having an SSH server accessible on the public internet poses several security risks, as it can potentially expose the system to unauthorized access, data breaches, and other cyberattacks.
To mitigate these risks and ensure the security of your SSH server, follow these steps:
1. Keep the SSH server software up-to-date with security patches and follow best practices for secure configuration and hardening. 2. Implement strong authentication mechanisms, such as public key authentication and multi-factor authentication, to prevent unauthorized access. 3. Limit the exposure of the SSH server to the public internet by using a VPN or implementing a bastion host to restrict access to authorized users only. 4. Regularly monitor system logs and network traffic for any signs of suspicious activity or potential intrusion attempts."	Aug 07 2026 01:19:04	MEDIUM
Aug 02 2026 00:48:50					OpenSSH (9.6p1) at 34.75.62.253:22	OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies observed versions of OpenSSH.	"Having OpenSSH accessible on the public internet poses several security risks, as it can potentially expose your systems to unauthorized access, data breaches, and other malicious activities. One notable vulnerability is CVE-2002-0083, which affects OpenSSH versions 2.0 through 3.0.2. This off-by-one error in the channel code allows local users or remote malicious servers to gain privileges, compromising the security of your system.
To mitigate the risks associated with using OpenSSH, follow these steps:
1. Upgrade to the latest available version of OpenSSH to safeguard your system from known vulnerabilities. 2. Limit access to OpenSSH by configuring your firewall to only allow connections from trusted IP addresses. 3. Use strong authentication methods, such as public key authentication, and disable weak authentication methods like password-based authentication. 4. Implement regular security updates and patches to ensure that your OpenSSH installation is protected against newly discovered vulnerabilities. 5. Monitor logs and system activities for any signs of unauthorized access or suspicious behavior."	Aug 02 2026 00:49:01	MEDIUM
Aug 07 2026 01:18:50					SSH Server at 34.26.97.223:22	"Secure Shell (SSH) servers provide remote terminal access.

Having an exposed SSH server is risky because many of its default installation configurations are insecure and they're commonly exploited as a result. When exploitation succeeds, attackers can gain remote access into the network. While the exploit still needs a knowledgeable attacker, these servers are such a frequent target that there is material risk associated with public facing SSH Server."	"Having an SSH server accessible on the public internet poses several security risks, as it can potentially expose the system to unauthorized access, data breaches, and other cyberattacks.
To mitigate these risks and ensure the security of your SSH server, follow these steps:
1. Keep the SSH server software up-to-date with security patches and follow best practices for secure configuration and hardening. 2. Implement strong authentication mechanisms, such as public key authentication and multi-factor authentication, to prevent unauthorized access. 3. Limit the exposure of the SSH server to the public internet by using a VPN or implementing a bastion host to restrict access to authorized users only. 4. Regularly monitor system logs and network traffic for any signs of suspicious activity or potential intrusion attempts."	Aug 07 2026 01:19:12	MEDIUM
Aug 05 2026 01:33:50					OpenSSH (10.0) at 34.26.149.183:22	OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies observed versions of OpenSSH.	"Having OpenSSH accessible on the public internet poses several security risks, as it can potentially expose your systems to unauthorized access, data breaches, and other malicious activities. One notable vulnerability is CVE-2002-0083, which affects OpenSSH versions 2.0 through 3.0.2. This off-by-one error in the channel code allows local users or remote malicious servers to gain privileges, compromising the security of your system.
To mitigate the risks associated with using OpenSSH, follow these steps:
1. Upgrade to the latest available version of OpenSSH to safeguard your system from known vulnerabilities. 2. Limit access to OpenSSH by configuring your firewall to only allow connections from trusted IP addresses. 3. Use strong authentication methods, such as public key authentication, and disable weak authentication methods like password-based authentication. 4. Implement regular security updates and patches to ensure that your OpenSSH installation is protected against newly discovered vulnerabilities. 5. Monitor logs and system activities for any signs of unauthorized access or suspicious behavior."	Aug 05 2026 01:34:08	MEDIUM
Aug 07 2026 01:18:50					OpenSSH (10.0) at 34.26.97.223:22	OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies observed versions of OpenSSH.	"Having OpenSSH accessible on the public internet poses several security risks, as it can potentially expose your systems to unauthorized access, data breaches, and other malicious activities. One notable vulnerability is CVE-2002-0083, which affects OpenSSH versions 2.0 through 3.0.2. This off-by-one error in the channel code allows local users or remote malicious servers to gain privileges, compromising the security of your system.
To mitigate the risks associated with using OpenSSH, follow these steps:
1. Upgrade to the latest available version of OpenSSH to safeguard your system from known vulnerabilities. 2. Limit access to OpenSSH by configuring your firewall to only allow connections from trusted IP addresses. 3. Use strong authentication methods, such as public key authentication, and disable weak authentication methods like password-based authentication. 4. Implement regular security updates and patches to ensure that your OpenSSH installation is protected against newly discovered vulnerabilities. 5. Monitor logs and system activities for any signs of unauthorized access or suspicious behavior."	Aug 07 2026 01:18:59	MEDIUM
Aug 05 2026 01:33:50					SSH Server at 34.26.149.183:22	"Secure Shell (SSH) servers provide remote terminal access.

Having an exposed SSH server is risky because many of its default installation configurations are insecure and they're commonly exploited as a result. When exploitation succeeds, attackers can gain remote access into the network. While the exploit still needs a knowledgeable attacker, these servers are such a frequent target that there is material risk associated with public facing SSH Server."	"Having an SSH server accessible on the public internet poses several security risks, as it can potentially expose the system to unauthorized access, data breaches, and other cyberattacks.
To mitigate these risks and ensure the security of your SSH server, follow these steps:
1. Keep the SSH server software up-to-date with security patches and follow best practices for secure configuration and hardening. 2. Implement strong authentication mechanisms, such as public key authentication and multi-factor authentication, to prevent unauthorized access. 3. Limit the exposure of the SSH server to the public internet by using a VPN or implementing a bastion host to restrict access to authorized users only. 4. Regularly monitor system logs and network traffic for any signs of suspicious activity or potential intrusion attempts."	Aug 05 2026 01:34:05	MEDIUM
Aug 02 2026 11:43:50					SSH Server at 34.73.94.223:22	"Secure Shell (SSH) servers provide remote terminal access.

Having an exposed SSH server is risky because many of its default installation configurations are insecure and they're commonly exploited as a result. When exploitation succeeds, attackers can gain remote access into the network. While the exploit still needs a knowledgeable attacker, these servers are such a frequent target that there is material risk associated with public facing SSH Server."	"Having an SSH server accessible on the public internet poses several security risks, as it can potentially expose the system to unauthorized access, data breaches, and other cyberattacks.
To mitigate these risks and ensure the security of your SSH server, follow these steps:
1. Keep the SSH server software up-to-date with security patches and follow best practices for secure configuration and hardening. 2. Implement strong authentication mechanisms, such as public key authentication and multi-factor authentication, to prevent unauthorized access. 3. Limit the exposure of the SSH server to the public internet by using a VPN or implementing a bastion host to restrict access to authorized users only. 4. Regularly monitor system logs and network traffic for any signs of suspicious activity or potential intrusion attempts."	Aug 02 2026 11:44:13	MEDIUM
